1.7011,1.657,1.6287,2.0074,1.6175
1.8021,1.6753,1.694,2.1728,1.6481
1.7847,1.7902,1.7743,2.1151,1.6506
1.7745,1.7381,1.6949,2.0931,1.6101
1.7678,1.6459,1.6511,2.0508,1.6404
1.8514,1.6043,1.5228,1.8604,1.6295
1.7684,1.5266,1.5965,2.0626,1.686
1.772,1.6054,1.5893,2.0915,1.7583
1.7431,1.5817,1.5,2.1994,1.695
1.8042,1.5805,1.5045,2.239,1.6692
1.8739,1.6706,1.5286,2.0787,1.7053
1.8233,1.652,1.5514,2.4491,1.7521
1.8746,1.7341,1.663,2.1893,1.7389
1.8971,1.8361,1.7291,2.3864,1.7246
1.7705,1.7362,1.6724,2.3374,1.7038
1.7337,1.8674,1.7586,2.2147,1.7756
1.8089,1.7094,1.7428,2.2477,1.7177
1.898,1.6963,1.7317,2.3422,1.736
1.9292,1.6997,1.7615,2.1224,1.7579
1.8515,1.5995,1.6068,2.0344,1.6325
1.7211,1.6171,1.685,1.8776,1.6098
1.6437,1.6605,1.657,1.7819,1.6297
1.6708,1.6581,1.5967,2.017,1.6554
1.6272,1.5429,1.5756,2.0632,1.5841
