0.95998,0.95511,0.96997,0.97827,0.96744
0.95053,0.94883,0.95892,0.96565,0.96439
0.96652,0.94835,0.95582,0.96931,0.95315
0.96304,0.9461,0.95937,0.97079,0.96637
0.95746,0.95279,0.95287,0.97347,0.96531
0.94366,0.93974,0.95373,0.97618,0.95735
0.94911,0.93778,0.94526,0.97923,0.94991
0.95502,0.95292,0.94342,0.96854,0.96259
0.95647,0.93739,0.96158,0.97924,0.96714
0.95817,0.93852,0.95314,0.97363,0.96253
0.94183,0.94228,0.95078,0.9743,0.95225
0.95058,0.93815,0.94692,0.96495,0.95299
0.94027,0.94501,0.93898,0.96837,0.95614
0.94079,0.93929,0.95214,0.97339,0.95034
0.94206,0.94065,0.92923,0.96743,0.95667
0.95086,0.92807,0.95654,0.9681,0.96284
0.94318,0.95042,0.96033,0.9725,0.9551
0.94622,0.96824,0.95675,0.96774,0.96105
0.94251,0.94624,0.95509,0.96255,0.96366
0.95845,0.94311,0.96833,0.9641,0.96959
0.94874,0.93311,0.9619,0.96041,0.96269
0.9574,0.93718,0.95867,0.9731,0.96737
0.95357,0.9275,0.96591,0.9663,0.96947
0.96348,0.95149,0.96541,0.97093,0.96519
