idx,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10,Label_11,Label_12,Label_13,Label_14,Label_15,Label_16,Label_17,Label_18,Label_19,Label_20,Label_21,Label_22,Label_23,Label_24,Label_25,Label_26,Label_27,Label_28,Label_29,Label_30,Label_31,Label_32,Label_33,Label_34,Label_35,Label_36,Label_37,Label_38,Label_39,Label_40,Label_41,Label_42,Label_43,Label_44,Label_45,Label_46,Label_47,Label_48,Label_49,Label_50,Label_51,Label_52,Label_53,Label_54,Label_55,Label_56,Label_57,Label_58,Label_59,Label_60,Label_61,Label_62,Label_63,Label_64,Label_65,Label_66,Label_67,Label_68,Label_69,Label_70,Label_71,Label_72,Label_73,Label_74,Label_75,Label_76,Label_77,Label_78,Label_79,Label_80,Label_81,Label_82,Label_83,Label_84,Label_85,Label_86,Label_87,Label_88,Label_89,Label_90,Label_91,Label_92,Label_93,Label_94,Label_95,Label_96,Label_97,Label_98,Label_99,Label_100,Label_101,Label_102,Label_103,Label_104,Label_105,Label_106,Label_107,Label_108,Label_109,Label_110,Label_111,Label_112,Label_113,Label_114,Label_115,Label_116,Label_117,Label_118,Label_119
Train_Data_0,37.6,34.4,30,26.4,23.2,21.6,20.4,19.2,19.6,22.4,25.6,30.4,31.6,30,30.4,30.8,30.8,32.8,36.4,41.6,48,52,54.8,54,37.2,33.2,29.3,26.1,23.2,21.4,19.9,18.7,18.7,20.6,23.9,28.5,29.7,28.5,28.8,29.4,29.5,31.6,35.2,40.2,45.9,50.1,52.3,52.4,35.5,34.5,31,27,23,18.5,16,15.5,15,17.5,18.5,19,19.5,20.5,18.5,19,22,24.5,27.5,30,34,38,41,42,45.6,42.4,37.2,32.8,29.5,26.6,24.8,23.7,23.6,26.1,27.8,28.5,28.5,28.1,27.4,28.8,30.6,32.8,36.7,41.9,46.5,49.1,50.6,49.4,31.56,54.88,59.6,56.72,52.76,50.88,55.72,53.16,59.72,59.24,53.52,47.92,56.4,58.36,60.32,60.4,56.4,55.68,57.84,55.84,55.92,56.08,58.76,60.32,62,62.8,64.4,49.6,37.6,32.4,24,16.8,16,19.2,16.4,18.8,23.6,25.2,24.8,24.8,33.6,29.6,36.8,42,51.2,52.4,53.6,53.2,61,61.5,65,51.3,36.6,30.5,20.9,13,12.7,15,11.5,15.9,21.7,25.4,24,23.2,31.9,27.5,34.1,37.1,48.1,47.9,51.9,50.4,38,37,43.5,42.5,35.5,32.5,29,24,17,17,10.5,15.5,17.5,23,19.5,24.5,36.5,28.5,31,33,39,35,42,43.5,55.6,55.4,57.7,50.2,40.2,37.5,30.4,23.7,23.7,24.5,22.1,24.9,27.7,29.7,29.2,29.3,35.7,36.6,39.7,42.5,48,48.2,49.4,45.9,48.72,51,29.88,39.2,53.12,52.68,41.28,41.92,35.4,50.04,47.8,50.68,45.04,37.88,34.52,35.56,33.6,42.68,42.04,41.92,48.44,55.76,57.44,57.8
Train_Data_1,51.2,48.8,44.8,40.4,36.8,32.8,28.8,25.2,23.6,22,20.4,18.8,17.2,16.8,17.6,18,17.2,16,14.4,12.4,12,11.6,11.2,10.4,49.6,47.2,43.9,40,36.7,32.5,28.1,24,21.6,19.8,19.2,17.3,16,16.2,17.2,17.3,16.8,15.5,13.9,12.5,11.6,11.3,10.8,10,38.5,38,36,34,29.5,26,22.5,19.5,18.5,17.5,17,15,13.5,14,14.5,12.5,12,12,12,11,11,11,11,10.5,45,42.8,39.8,36.6,33.7,30.7,27.5,23.9,22.3,21.1,19.5,18.1,17.7,17.9,19.2,19.3,19.3,18.5,17.3,16.2,15.1,14.9,14.7,14,51,60.36,60.32,60,57.64,55.04,51.76,54.64,52.08,47.56,47.12,48.76,45,47.04,42.16,35.76,32.88,29.52,28.36,21.32,21.36,20.64,20.32,21.84,50.4,49.2,48,40,33.6,30.4,23.6,26.8,18.4,15.6,11.2,8.4,8,12.8,16,20,16,15.6,17.2,14.8,13.6,10,9.2,9.2,47.7,48.4,47.2,38.3,30.7,28.9,21.2,24.3,16.1,12,9.3,7,6.3,11.1,13.6,20.4,15.8,15,16.3,15,14.7,10.7,9.5,9.9,41,40,41.5,35.5,26,30,18,21.5,15,13.5,7,12,13,14.5,12,23.5,12,8,11,13.5,9.5,10,9,11,43.4,43.2,40.5,35.4,30.4,28.7,24.7,25.4,19.2,14.6,13.8,11.9,11.6,15.5,18.7,21.9,20.1,19.4,21,19.7,19.6,17,16.6,16.9,58.76,58.84,58.68,58.8,58.4,52.64,47.64,43.48,39.04,33.36,33.12,23.24,14.88,13.64,13.44,13.12,12.24,13.16,15.96,13.84,13.4,10.48,9.24,11.04
Train_Data_2,10,8.8,8,6.8,5.6,4.4,3.6,2.8,2.4,2.4,2.4,2.4,2.4,2.8,3.2,3.2,2.8,2.4,2,2,2.4,2.4,2.4,2,10.1,9,8.3,7.4,6.4,5.5,4.5,3.6,3.1,3.1,3.2,3.4,3.6,3.9,4.2,4,3.7,3.4,3.1,3,3.1,3.3,3.3,3.1,8.5,7.5,7,6.5,5,3.5,2.5,1.5,1.5,1,1,1.5,1.5,2,2,2,2,2,2.5,2,1.5,1,1,1,11.6,10.1,8.8,7.8,6.7,5.3,3.8,2.7,2.1,1.9,2,2.3,2.8,3.2,3.3,3.2,2.8,2.6,2.5,2.7,2.7,2.8,2.8,2.7,26.04,22.68,18.88,14.8,9.12,7.52,6.24,6.36,7.16,5.68,5.04,4.72,4.72,3.52,3.2,3.36,2.8,3.64,4.16,4.08,5.24,4.72,5.28,7.24,7.6,6.8,4.4,4,2.4,2.4,2,0.8,1.2,1.6,1.6,1.6,2,2,2,2,2,1.6,2.8,2.8,2,2.8,2.4,1.6,9.3,8.6,5.5,5,3.7,3,2.7,1.5,1.8,2,2,1.7,2.1,2.4,2.7,2.5,2.2,2,3.7,3.5,2.9,4.2,3.8,2.5,9,8,7,5,3.5,2.5,1,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,0,0.5,0.5,0,16,14.2,9.9,7.6,5.8,3.8,2.7,1.1,0.7,0.8,1,0.7,0.8,1,1.3,1.4,1.4,1.6,3.1,2.9,2.7,3.9,3.8,2.2,9.92,7.84,5.44,7.08,5.32,4.2,5.08,4.4,4.4,2.72,3.2,3.2,4,4.4,7.04,7.04,7.72,8.48,8.4,8.08,5.72,6.8,6.84,7.08
Train_Data_3,1.6,1.2,1.2,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.6,1.6,2.7,2.7,2.5,2.2,1.9,1.8,1.6,1.5,1.6,1.7,1.8,1.7,1.7,1.8,1.9,2.1,2.2,2.3,2.2,2.1,2.2,2.4,2.6,2.9,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,1.9,1.5,1.3,1.1,1.3,1.1,0.8,0.6,0.5,0.5,0.4,0.4,0.6,0.9,1.3,1.6,1.7,1.4,0.9,0.8,0.9,1.3,1.8,2.3,0.88,0.6,0.44,1.88,1.36,0.36,0.04,0.28,0.32,0,0.48,1.28,0.2,0,0,0,0,0,0,0,0,0,0,0.24,1.2,0.8,0,0,0,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,2.5,2,0.3,0.3,0.6,1,1.4,1.3,1.3,1.3,1.1,0.9,0.7,0.9,0.7,0.7,1.1,0.8,1.1,1,1.1,0.7,0.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.2,0.3,0.6,0.9,1,0.6,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.6,0.6,0.8,0.5,0.4,0.4,0.7,0.8,1.3,1.9,7.68,9.88,7.64,4.72,2.92,2.84,3.16,4.2,9.04,6.16,4.08,2.76,1.4,1.24,0,0.44,1.24,0.12,0,0,0,0,0,0
Train_Data_4,2.4,2.8,3.6,4,4,3.6,2.8,2,1.6,1.2,1.2,1.2,1.6,2,2.4,2.4,1.6,1.6,1.6,1.2,1.2,1.6,1.6,1.6,4,4.6,5.4,5.9,5.9,5.4,4.5,3.6,2.9,2.6,2.5,2.7,3,3.4,3.9,3.9,3.6,3.4,3.3,3.1,3,3,3.1,3.1,1,1.5,2,2.5,3.5,4,4,2.5,1.5,1.5,1.5,2,2,2.5,3,3,3.5,3.5,3.5,3,3,3.5,4,4.5,2.7,3.1,3.6,4.2,5,5.6,4.8,3.5,2.5,2.4,2.5,2.9,3.5,4.4,5.7,6.4,6.7,6.6,6.1,5.7,5.8,6.4,7,7.8,0.64,0.28,0.6,0.12,0,0,0.16,0.28,0.32,0.28,0.48,0.68,0.6,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.2,1.2,1.6,3.2,2.8,2,1.2,0.4,0,0.4,0.4,0,0.4,0.8,0,0,0,0.8,4,3.6,0.4,0.3,0.9,2.1,2.3,2.4,2.8,3.8,3.8,2.9,1.2,0.6,0.5,0.9,0.7,0.7,1.2,1,0.8,0.4,0.4,1.9,5.3,4.9,0,0,0,0,0,0.5,1.5,3,3.5,3.5,2.5,2.5,5,4.5,4.5,4.5,6,4,6.5,4,3,4.5,8,12.5,1,0.6,0.8,1.2,1.2,1.7,2.2,2.9,3,2.5,1.7,1.6,1.7,2.2,2.7,3.1,4.6,4.6,4.6,3.9,3.3,6.8,10.1,9.7,0.52,3.36,3.52,3.12,1.8,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train_Data_5,4,4,3.6,3.2,2.8,2.4,2,1.6,1.2,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,2,2.4,2.8,5.4,5.1,4.7,4.1,3.5,3,2.6,2.2,1.9,1.8,1.9,2.1,2.3,2.4,2.5,2.6,2.7,2.9,3.1,3,3,3.3,3.8,4,4.5,4.5,4.5,3.5,2.5,2,1.5,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,8.2,8.1,7.7,6.4,5,4,3,2.2,1.3,1.1,1,1.1,1.6,1.8,1.7,1.7,1.8,1.8,1.9,2.1,2.3,2.1,1.5,1.3,2.68,1.28,0.72,1.6,0.52,0,0,0,0,0,0,0.28,0.28,0,0.32,0.32,0.24,0,2.68,0.24,1.44,3.28,2.68,2.6,2,0.4,0,0,0,0.4,1.2,1.2,0.8,1.6,0.8,1.2,2.8,1.2,0,0,1.6,3.2,0.8,0.4,0.8,0.4,1.2,2,3.3,0.9,0.3,0.4,0.4,1,2.1,2,1.6,2.5,1.6,1.8,4,2.4,0.1,0.9,2.9,4.9,2,1.2,2.1,1.6,2.4,4,9.5,5.5,4.5,6.5,3.5,2.5,3,2.5,0.5,0.5,1,2,2.5,1,0,0.5,0.5,1.5,0.5,0,1.5,0.5,0,0.5,9.7,8.4,6.5,7.5,7,6.6,5.7,3.2,1.8,2,1.4,1.7,4,3.6,1.2,1.2,2.8,4.4,1.6,1.3,2,1.4,1.1,2.2,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.04,0.2,0,0,0,0,0,0,0.84,1.72
Train_Data_6,2,2,2,2,1.6,1.2,1.2,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1.6,1.6,2,1.6,1.6,2,2.4,3.2,3.6,3.2,3.3,3.3,3.3,3,2.7,2.4,2,1.8,1.7,1.7,1.7,1.9,2.1,2.3,2.5,2.8,2.9,2.8,2.8,3,3.4,4.1,4.5,4.3,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1.5,1.8,1.8,1.8,1.6,1.4,1.2,0.9,0.7,0.6,0.4,0.3,0.4,0.5,1.1,2,2.4,2.6,2.9,3.2,3.8,4.1,4.1,4.4,4.9,0.36,0.44,2.6,1.84,3.16,2,0.52,0.28,0.56,1.4,1.36,1.28,0.68,0.48,0.6,1.16,3.16,3.68,5.52,5.2,0.04,0,0,0,2.8,2.4,1.2,1.6,1.2,1.6,1.6,1.2,1.2,1.2,1.6,1.6,2,2.8,2.8,2,3.6,1.6,2.8,4.4,4.8,5.2,5.6,3.6,4.5,4.5,2.7,3,2.2,3.1,2.7,2.1,2.1,2.5,2.8,3.1,3.3,4.4,4.7,3.2,5.3,2.8,4.3,6.5,6.9,6.7,5.9,3.9,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,1.5,1.5,0.5,0.5,2.7,3,2.1,2.4,1.8,2.2,1.4,0.7,0.6,0.6,0.7,0.8,1,2.8,3.7,2.8,4.6,2.5,3.7,5.7,6.1,5.8,5.5,5,1.76,1.8,0.56,2.12,2.64,0.6,0.16,1.24,0.8,2.16,1.44,1.52,1.96,2.36,1.84,2.96,1.64,1.64,5.96,6.64,6.28,0.32,0.24,0
